time(s),position(m),velocity(m/s),acceleration(m/s^2)
6.33,-0.0386366,-0.0426834,0.506322
6.34,-0.0390381,-0.0376209,0.506078
6.35,-0.039389,-0.0325638,0.505232
6.36,-0.0396894,-0.0275182,0.503791
6.37,-0.0399394,-0.02249,0.501763
6.38,-0.0401393,-0.0174849,0.499156
6.39,-0.0402892,-0.0125088,0.495979
6.4,-0.0403896,-0.00756719,0.492242
6.41,-0.0404407,-0.00266576,0.487954
6.42,-0.040443,0.00219009,0.483126
6.43,-0.0403971,0.006995,0.47777
6.44,-0.0403033,0.0117438,0.471896
6.45,-0.0401624,0.0164312,0.465517
6.46,-0.0399749,0.0210525,0.458646
6.47,-0.0397416,0.0256026,0.451296
6.48,-0.0394631,0.0300768,0.44348
6.49,-0.0391403,0.0344707,0.435213
6.5,-0.038774,0.0387796,0.426508
6.51,-0.038365,0.0429994,0.417381
6.52,-0.0379143,0.0471259,0.407846
6.53,-0.0374228,0.051155,0.397919
